Class Name,Class ID
"basset, basset hound",161
beagle,162
"bloodhound, sleuthhound",163
bluetick,164
black-and-tan coonhound,165
"Walker hound, Walker foxhound",166
English foxhound,167
redbone,168
"borzoi, Russian wolfhound",169
Irish wolfhound,170
Italian greyhound,171
whippet,172
"Ibizan hound, Ibizan Podenco",173
"Norwegian elkhound, elkhound",174
"otterhound, otter hound",175
"Saluki, gazelle hound",176
"Scottish deerhound, deerhound",177
Weimaraner,178
"Staffordshire bullterrier, Staffordshire bull terrier",179
"American Staffordshire terrier, Staffordshire terrier, American pit bull rrier, pit bull terrier',",180
Bedlington terrier,181
Border terrier,182
Kerry blue terrier,183
Irish terrier,184
Norfolk terrier,185
Norwich terrier,186
Yorkshire terrier,187
wire-haired fox terrier,188
Lakeland terrier,189
"Sealyham terrier, Sealyham",190
"Airedale, Airedale terrier",191
"cairn, cairn terrier",192
Australian terrier,193
"Dandie Dinmont, Dandie Dinmont terrier",194
"Boston bull, Boston terrier",195
miniature schnauzer,196
giant schnauzer,197
standard schnauzer,198
"Scotch terrier, Scottish terrier, Scottie",199
"Tibetan terrier, chrysanthemum dog",200
"silky terrier, Sydney silky",201
soft-coated wheaten terrier,202
West Highland white terrier,203
"Lhasa, Lhasa apso",204
flat-coated retriever,205
curly-coated retriever,206
golden retriever,207
Labrador retriever,208
Chesapeake Bay retriever,209
German short-haired pointer,210
"vizsla, Hungarian pointer",211
English setter,212
"Irish setter, red setter",213
Gordon setter,214
Brittany spaniel,215
"clumber, clumber spaniel",216
"English springer, English springer spaniel",217
Welsh springer spaniel,218
"cocker spaniel, English cocker spaniel, cocker",219
Sussex spaniel,220
Irish water spaniel,221
kuvasz,222
schipperke,223
groenendael,224
malinois,225
briard,226
kelpie,227
komondor,228
"Old English sheepdog, bobtail",229
"Shetland sheepdog, Shetland sheep dog, Shetland",230
collie,231
Border collie,232
"Bouvier des Flandres, Bouviers des Flandres",233
Rottweiler,234
"German shepherd, German shepherd dog, German police dog, alsatian",235
"Doberman, Doberman pinscher",236
miniature pinscher,237
Greater Swiss Mountain dog,238
Bernese mountain dog,239
Appenzeller,240
EntleBucher,241
boxer,242
bull mastiff,243
Tibetan mastiff,244
French bulldog,245
Great Dane,246
"Saint Bernard, St Bernard",247
"Eskimo dog, husky",248
"malamute, malemute, Alaskan malamute",249
Siberian husky,250
"dalmatian, coach dog, carriage dog",251
"affenpinscher, monkey pinscher, monkey dog",252
basenji,253
"pug, pug-dog",254
Leonberg,255
"Newfoundland, Newfoundland dog",256
Great Pyrenees,257
"Samoyed, Samoyede",258
Pomeranian,259
"chow, chow chow",260
keeshond,261
Brabancon griffon,262
"Pembroke, Pembroke Welsh corgi",263
"Cardigan, Cardigan Welsh corgi",264
toy poodle,265
miniature poodle,266
standard poodle,267
Mexican hairless,268
"timber wolf, grey wolf, gray wolf, Canis lupus",269
"white wolf, Arctic wolf, Canis lupus tundrarum",270
"red wolf, maned wolf, Canis rufus, Canis niger",271
"coyote, prairie wolf, brush wolf, Canis latrans",272
"dingo, warrigal, warragal, Canis dingo",273
"dhole, Cuon alpinus",274
"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",275
"hyena, hyaena",276
"red fox, Vulpes vulpes",277
"kit fox, Vulpes macrotis",278
"Arctic fox, white fox, Alopex lagopus",279
"grey fox, gray fox, Urocyon cinereoargenteus",280
"tabby, tabby cat",281
tiger cat,282
Persian cat,283
"Siamese cat, Siamese",284
Egyptian cat,285
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",286
"lynx, catamount",287
"leopard, Panthera pardus",288
"snow leopard, ounce, Panthera uncia",289
"jaguar, panther, Panthera onca, Felis onca",290
"lion, king of beasts, Panthera leo",291
"tiger, Panthera tigris",292
"cheetah, chetah, Acinonyx jubatus",293
"brown bear, bruin, Ursus arctos",294
"American black bear, black bear, Ursus americanus, Euarctos americanus",295
"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",296
"sloth bear, Melursus ursinus, Ursus ursinus",297
mongoose,298
"meerkat, mierkat",299
tiger beetle,300
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",301
"ground beetle, carabid beetle",302
"long-horned beetle, longicorn, longicorn beetle",303
"leaf beetle, chrysomelid",304
dung beetle,305
rhinoceros beetle,306
weevil,307
fly,308
bee,309
"ant, emmet, pismire",310
"grasshopper, hopper",311
cricket,312
"walking stick, walkingstick, stick insect",313
"cockroach, roach",314
"mantis, mantid",315
"cicada, cicala",316
leafhopper,317
"lacewing, lacewing fly",318
"dragonfly, darning needle, devil's darning needle, sewing needle, snake fder, snake doctor, mosquito hawk, skeeter hawk"",",319
damselfly,320
admiral,321
"ringlet, ringlet butterfly",322
"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",323
cabbage butterfly,324
"sulphur butterfly, sulfur butterfly",325
"lycaenid, lycaenid butterfly",326
"starfish, sea star",327
sea urchin,328
"sea cucumber, holothurian",329
"wood rabbit, cottontail, cottontail rabbit",330
hare,331
"Angora, Angora rabbit",332
hamster,333
"porcupine, hedgehog",334
"fox squirrel, eastern fox squirrel, Sciurus niger",335
marmot,336
beaver,337
"guinea pig, Cavia cobaya",338
sorrel,339
zebra,340
"hog, pig, grunter, squealer, Sus scrofa",341
"wild boar, boar, Sus scrofa",342
warthog,343
"hippopotamus, hippo, river horse, Hippopotamus amphibius",344
ox,345
"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",346
bison,347
"ram, tup",348
"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain eep, Ovis canadensis',",349
"ibex, Capra ibex",350
hartebeest,351
"impala, Aepyceros melampus",352
gazelle,353
"Arabian camel, dromedary, Camelus dromedarius",354
llama,355
weasel,356
mink,357
"polecat, fitch, foulmart, foumart, Mustela putorius",358
"black-footed ferret, ferret, Mustela nigripes",359
otter,360
"skunk, polecat, wood pussy",361
badger,362
armadillo,363
"three-toed sloth, ai, Bradypus tridactylus",364
"orangutan, orang, orangutang, Pongo pygmaeus",365
"gorilla, Gorilla gorilla",366
"chimpanzee, chimp, Pan troglodytes",367
"gibbon, Hylobates lar",368
"siamang, Hylobates syndactylus, Symphalangus syndactylus",369
"guenon, guenon monkey",370
"patas, hussar monkey, Erythrocebus patas",371
baboon,372
macaque,373
langur,374
"colobus, colobus monkey",375
"proboscis monkey, Nasalis larvatus",376
marmoset,377
"capuchin, ringtail, Cebus capucinus",378
"howler monkey, howler",379
"titi, titi monkey",380
"spider monkey, Ateles geoffroyi",381
"squirrel monkey, Saimiri sciureus",382
"Madagascar cat, ring-tailed lemur, Lemur catta",383
"indri, indris, Indri indri, Indri brevicaudatus",384
"Indian elephant, Elephas maximus",385
"African elephant, Loxodonta africana",386
"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",387
"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",388
"barracouta, snoek",389
eel,390
"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",391
"rock beauty, Holocanthus tricolor",392
anemone fish,393
sturgeon,394
"gar, garfish, garpike, billfish, Lepisosteus osseus",395
lionfish,396
"puffer, pufferfish, blowfish, globefish",397
abacus,398
abaya,399
"academic gown, academic robe, judge's robe",400
"accordion, piano accordion, squeeze box",401
acoustic guitar,402
"aircraft carrier, carrier, flattop, attack aircraft carrier",403
airliner,404
"airship, dirigible",405
altar,406
ambulance,407
"amphibian, amphibious vehicle",408
analog clock,409
"apiary, bee house",410
apron,411
"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustb, trash barrel, trash bin',",412
"assault rifle, assault gun",413
"backpack, back pack, knapsack, packsack, rucksack, haversack",414
"bakery, bakeshop, bakehouse",415
"balance beam, beam",416
balloon,417
"ballpoint, ballpoint pen, ballpen, Biro",418
Band Aid,419
banjo,420
"bannister, banister, balustrade, balusters, handrail",421
barbell,422
barber chair,423
barbershop,424
barn,425
barometer,426
"barrel, cask",427
"barrow, garden cart, lawn cart, wheelbarrow",428
baseball,429
basketball,430
bassinet,431
bassoon,432
"bathing cap, swimming cap",433
bath towel,434
"bathtub, bathing tub, bath, tub",435
"beach wagon, station wagon, wagon, estate car, beach waggon, station wagg, waggon',",436
"beacon, lighthouse, beacon light, pharos",437
beaker,438
"bearskin, busby, shako",439
beer bottle,440
beer glass,441
"bell cote, bell cot",442
bib,443
"bicycle-built-for-two, tandem bicycle, tandem",444
"bikini, two-piece",445
"binder, ring-binder",446
"binoculars, field glasses, opera glasses",447
birdhouse,448
boathouse,449
"bobsled, bobsleigh, bob",450
"bolo tie, bolo, bola tie, bola",451
"bonnet, poke bonnet",452
bookcase,453
"bookshop, bookstore, bookstall",454
bottlecap,455
bow,456
"bow tie, bow-tie, bowtie",457
"brass, memorial tablet, plaque",458
"brassiere, bra, bandeau",459
"breakwater, groin, groyne, mole, bulwark, seawall, jetty",460
"breastplate, aegis, egis",461
broom,462
"bucket, pail",463
buckle,464
bulletproof vest,465
"bullet train, bullet",466
"butcher shop, meat market",467
"cab, hack, taxi, taxicab",468
"caldron, cauldron",469
"candle, taper, wax light",470
cannon,471
canoe,472
"can opener, tin opener",473
cardigan,474
car mirror,475
"carousel, carrousel, merry-go-round, roundabout, whirligig",476
"carpenter's kit, tool kit",477
carton,478
car wheel,479
"cash machine, cash dispenser, automated teller machine, automatic teller chine, automated teller, automatic teller, ATM',",480
cassette,481
cassette player,482
castle,483
catamaran,484
CD player,485
"cello, violoncello",486
"cellular telephone, cellular phone, cellphone, cell, mobile phone",487
chain,488
chainlink fence,489
"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring mour',",490
"chain saw, chainsaw",491
chest,492
"chiffonier, commode",493
"chime, bell, gong",494
"china cabinet, china closet",495
Christmas stocking,496
"church, church building",497
"cinema, movie theater, movie theatre, movie house, picture palace",498
"cleaver, meat cleaver, chopper",499
cliff dwelling,500
cloak,501
"clog, geta, patten, sabot",502
cocktail shaker,503
coffee mug,504
coffeepot,505
"coil, spiral, volute, whorl, helix",506
